Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,agriculture,animal husbandry
Ethnographic Atlas,Lacandon,Sa10,xd1310,Lacandon (Sa10),17,-92,laca1243,Lacandon,lac,Mayan,6,0
Ethnographic Atlas,Shawnee,Nf13,xd1233,Shawnee (Nf13),37,-85,shaw1249,Shawnee,sjw,Algic,3,0
Ethnographic Atlas,Udihe,ec21,xd630,Udihe (ec21),47,136,udih1248,Udihe,ude,Tungusic,0,0
Ethnographic Atlas,Vagala,Ag43,xd281,Vagala (Ag43),8,-2,vagl1239,Vagla,vag,Atlantic-Congo,8,2
Ethnographic Atlas,Gude,Ah36,xd327,Gude (Ah36),10,13,gude1246,Gude,gde,Afro-Asiatic,8,2
Ethnographic Atlas,Umotina,Si8,xd1405,Umotina (Si8),-15,-57,umot1240,Umotína,umo,Bororoan,5,0
Ethnographic Atlas,Karen,Ei7,xd713,Karen (Ei7),17.12,97.19,pwow1235,Pwo Western Karen,pwo,Sino-Tibetan,6,1
Ethnographic Atlas,Nauruans,If13,xd828,Nauruans (If13),-0.53,166.92,naur1243,Nauru,nau,Austronesian,6,0
Ethnographic Atlas,Lokele,Ae27,xd146,Lokele (Ae27),1,25,kele1255,Kele-Foma,khy,Atlantic-Congo,4,1
Ethnographic Atlas,Hill Bhuiya,Eg7,xd683,Hill Bhuiya (Eg7),21,85,oriy1255,Oriya,ory,Indo-European,5,2
Ethnographic Atlas,Karelians,ch19,xd556,Karelians (ch19),64,33,livv1243,Livvi,olo,Uralic,3,2
Ethnographic Atlas,Toposa,Aj24,xd400,Topotha (Aj24),5,34,topo1242,Toposa,toq,Nilotic,3,5
Ethnographic Atlas,Pare,Ad36,xd105,Pare (Ad36),-4,38,asut1235,Asu (Tanzania),asa,Atlantic-Congo,6,4
Ethnographic Atlas,Sateré Mawé,Sd5,xd1357,Maue (Sd5),-4,-57,sate1243,Sateré-Mawé,mav,Tupian,6,0
